Name,Link
深度学习实践:计算机视觉,https://book.douban.com/subject/30607940/
Learning Representations via Graph-structured Networks,https://xiaolonw.github.io/graphnnv2/
CVPR 2020华人一作包揽最佳论文、最佳学生论文,https://zhuanlan.zhihu.com/p/148875581
Implicit Geometric Regularization for Learning Shapes,https://arxiv.org/pdf/2002.10099.pdf
"Implicit Neural Representations with Periodic
Activation Functions",https://arxiv.org/pdf/2006.09661.pdf
"LatentFusion: End-to-End Differentiable Reconstruction and Rendering
for Unseen Object Pose Estimation",https://arxiv.org/pdf/1912.00416.pdf
"A Review on Object Pose Recovery: from 3D
Bounding Box Detectors to Full 6D Pose Estimators",https://arxiv.org/pdf/2001.10609.pdf
KFNet: Learning Temporal Camera Relocalization using Kalman Filtering,https://arxiv.org/pdf/2003.10629.pdf
Deep Global Registration,https://node1.chrischoy.org/data/publications/dgr/DGR.pdf
SAL: Sign Agnostic Learning of Shapes from Raw Data,https://arxiv.org/abs/1911.10414
SDFDiff: Differentiable Rendering of Signed Distance Fields for 3D Shape Optimization,https://yuejiang-nj.github.io/papers/CVPR2020_SDFDiff/project_page.html
FroDO: From Detections to 3D Objects,https://arxiv.org/abs/2005.05125
SuperGlue:Learning Feature Matching with Graph Neural Networks,https://arxiv.org/abs/1911.11763
目标检测的过去、现在与将来,https://www.bilibili.com/video/BV1154y1v7BZ
Adversarial Generation of Continuous Implicit Shape Representations,https://arxiv.org/abs/2002.00349
Curriculum DeepSDF,https://arxiv.org/pdf/2003.08593.pdf
"Fully Convolutional Geometric Features for Category-level Object
Alignment",http://erl.ucsd.edu/ref/Feng_CategoryAlignment_IROS20.pdf
Manifold Learning in Quotient Spaces,https://openaccess.thecvf.com/content_cvpr_2018/papers/Mehr_Manifold_Learning_in_CVPR_2018_paper.pdf
Generalized Autoencoder for Volumetric Shape Generation,https://openaccess.thecvf.com/content_CVPRW_2020/papers/w17/Guan_Generalized_Autoencoder_for_Volumetric_Shape_Generation_CVPRW_2020_paper.pdf
SAMP: Shape and Motion Priors for 4D Vehicle Reconstruction,https://www.vision.rwth-aachen.de/media/papers/EngelmannWACV17_x8euNDK.pdf
深度学习框架PyTorch：入门与实践,https://github.com/chenyuntc/pytorch-book
YOLOv4: Optimal Speed and Accuracy of Object Detection,https://arxiv.org/abs/2004.10934
Self6D: Self-Supervised Monocular 6D Object Pose Estimation,https://github.com/THU-DA-6D-Pose-Group/Self6D-Diff-Renderer
Machine Learning Optimized Systems,https://remziarpacidusseau.wixsite.com/mlos
HybridPose: 6D Object Pose Estimation under Hybrid Representations,https://github.com/chensong1995/HybridPose
PVNet: Pixel-wise Voting Network for 6DoF Pose Estimation,https://github.com/zju3dv/pvnet
"Learning Monocular 3D Vehicle Detection
without 3D Bounding Box Labels",https://lukaskoestler.com/ldwl
"Deep Shells: Unsupervised Shape Correspondence
with Optimal Transport",https://arxiv.org/pdf/2010.15261.pdf
Conditional Link Prediction of Category-Implicit Keypoint Detection,https://arxiv.org/pdf/2011.14462.pdf
RfD-Net: Point Scene Understanding by Semantic Instance Reconstruction,https://arxiv.org/pdf/2011.14744.pdf
Vid2CAD: CAD Model Alignment using Multi-View Constraints from Videos,https://arxiv.org/pdf/2012.04641.pdf
"MO-LTR: Multiple Object Localization, Tracking and Reconstruction
from Monocular RGB Videos",https://arxiv.org/pdf/2012.05360.pdf
Accelerating 3D Deep Learning with PyTorch3D,https://arxiv.org/pdf/2007.08501.pdf
Learning 3D Reconstruction in Function Space (Long Version),https://www.bilibili.com/video/BV1Mp4y167RM
From Points to Multi-Object 3D Reconstruction,https://arxiv.org/pdf/2012.11575.pdf
DualSDF: Semantic Shape Manipulation using a Two-Level Representation,https://openaccess.thecvf.com/content_CVPR_2020/papers/Hao_DualSDF_Semantic_Shape_Manipulation_Using_a_Two-Level_Representation_CVPR_2020_paper.pdf
CornerNet-Lite: Efficient Keypoint-Based Object Detection,https://arxiv.org/pdf/1904.08900.pdf
Neural Geometric Level of Detail: Real-time Rendering with Implicit 3D Shapes,https://arxiv.org/pdf/2101.134.pdf
Neural Cages for Detail-Preserving 3D Deformations,https://igl.ethz.ch/projects/neural-cage/06035.pdf
Local Implicit Grid Representations for 3D Scenes,https://geometry.stanford.edu/papers/jsmhnf-lligrf3s-20/jsmhnf-lligrf3s-20.pdf
GDR-Net: Geometry-Guided Direct Regression Network for Monocular 6D Object Pose Estimation,https://github.com/THU-DA-6D-Pose-Group/GDR-Net
NeMI: Unifying Neural Radiance Fields with Multiplane Images for Novel View Synthesis,https://arxiv.org/pdf/2103.14910.pdf
DXSLAM: A Robust and Efficient Visual SLAM System with Deep Features,https://arxiv.org/abs/2008.05416
GCNv2: Efficient Correspondence Prediction for Real-Time SLAM,https://arxiv.org/pdf/1902.11046.pdf
Geometric foundations of Deep Learning,https://geometricdeeplearning.com/
Dive into Deep Learning,https://d2l.ai/
VoluMon: Weakly-Supervised Volumetric Monocular Estimation with Ellipsoid Representations,https://groups.csail.mit.edu/rrg/papers/liu_ok_iros_2021_camera_ready.pdf
Leveraging SE(3) Equivariance for Self-Supervised Category-Level Object Pose Estimation,https://arxiv.org/pdf/2111.00190.pdf
Continual Learning of Semantic Segmentation using Complementary 2D-3D Data Representations,https://arxiv.org/pdf/2111.02156.pdf
NeRF Explosion 2020,https://dellaert.github.io/NeRF/
Rethinking Keypoint Representations: Modeling Keypoints and Poses as Objects for Multi-Person Human Pose Estimation,https://arxiv.org/pdf/2111.08557v2.pdf
Gradient-SDF: A Semi-Implicit Surface Representation for 3D Reconstruction,https://arxiv.org/pdf/2111.13652.pdf
Technion EE 046746 - Computer Vision,https://github.com/taldatech/ee046746-computer-vision 
Analysis of Geometry and Deep Learning-based Methods for Visual Odometry,https://eric-yyjau.github.io/misc/talks/202006_thesis/YouYiJau_MS_thesis_UCSD_202006_final.pdf
