Name,Link,Summary,Type
"Joint Workshop on Long-Term Visual Localization, Visual Odometry and Geometric and Learning-based SLAM",https://sites.google.com/view/vislocslamcvpr2020/home,https://www.notion.so/Joint-Workshop-on-Long-Term-Visual-Localization-Visual-Odometry-and-Geometric-and-Learning-based-SL-fe0d27c1265c473cae0529b4395f0da2,Workshop
In Perfect Shape: Certifiably Optimal 3D Shape Reconstruction from 2D Landmarks,https://arxiv.org/pdf/1911.11924.pdf,,Paper
SLAM中线特征的参数化和求导,https://zhuanlan.zhihu.com/p/65674067,,Paper
SLAM中面特征的参数化,https://zhuanlan.zhihu.com/p/71924149,,Paper
What can LARVIO do? ——单目视觉惯性里程计LARVIO介绍,"https://zhuanlan.zhihu.com/p/142714515  ",https://www.notion.so/larvio-b6f9244d977945a69356f0e7f71c2682,Paper
Accurate Monocular Visual-inertial SLAM using a Map-assisted EKF Approach,https://arxiv.org/pdf/1706.03648.pdf,https://www.notion.so/Accurate-Monocular-Visual-inertial-SLAM-using-a-Map-assisted-EKF-Approach-e5cee2e016064e21ac8f179cac9f02ee,Paper
"A Linear-Complexity EKF for
Visual-Inertial Navigation with Loop Closures",https://ieeexplore.ieee.org/document/8793836,https://www.notion.so/A-Linear-Complexity-EKF-for-Visual-Inertial-Navigation-with-Loop-Closures-94e3c11a2a1d4c7c872dd34652e3e1c3,Paper
"Comparison of State Marginalization Techniques
in Visual Inertial Navigation Filters",https://research.library.mun.ca/14086/1/thesis.pdf,https://www.notion.so/Comparison-of-State-Marginalization-Techniques-in-Visual-Inertial-Navigation-Filters-b8dff1dd98464d528e6a8f405eb811d1,Paper
"A Square Root Inverse Filter for Efficient
Vision-aided Inertial Navigation on Mobile Devices",http://www.roboticsproceedings.org/rss11/p08.pdf,,Paper
"MIT A 2020 Vision of Linear Algebra, Spring 2020",https://www.youtube.com/watch?v=azzrfdysfI0&list=PLUl4u3cNGP61iQEFiWLE21EJCxwmWvvek&index=2,,Workshop
"A Survey on Deep Learning for Localization and Mapping:
Towards the Age of Spatial Machine Intelligence",https://128.84.21.199/pdf/2006.12567.pdf,https://www.notion.so/A-Survey-on-Deep-Learning-for-Localization-and-Mapping-Towards-the-Age-of-Spatial-Machine-Intellige-16b92401a4ed4e02a8dfe1f07a410e94,Paper
Visual Inertial Odometry with Pentafocal Geometric Constraints,https://link.springer.com/content/pdf/10.1007/s12555-017-0200-5.pdf,https://www.notion.so/Visual-Inertial-Odometry-with-Pentafocal-Geometric-Constraints-e748c6def9394c37a6d37491f69782fe,Paper
Exploiting Feature Confidence for Forward Motion Estimation,https://arxiv.org/pdf/1704.07145.pdf,https://www.notion.so/Exploiting-Feature-Confidence-for-Forward-Motion-Estimation-ecd40210bb694584ae467ba6a8d25ce2,Paper
Parallax Bundle Adjustment on Manifold with Convexified Initialization,https://arxiv.org/pdf/1807.03556.pdf,https://www.notion.so/Parallax-Bundle-Adjustment-on-Manifold-with-Convexified-Initialization-f8ca4ed0ebf04a368215ed3d3ac8e145,Paper
Towards Observable Urban Visual SLAM,https://opus.lib.uts.edu.au/bitstream/10453/140553/2/02whole.pdf,https://www.notion.so/Towards-Observable-Urban-Visual-SLAM-1271be4139df4317b0dc1e28a19b6bbb,Paper
VIO中的IMU数值积分与IMU预积分,https://zhuanlan.zhihu.com/p/107032156,,Paper
